,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
17327,Am Hochacker,224526.0,141456,48.105038,11.66731,,,698557.417463421,5331416.348605383,True
17328,Am Hochacker,224526.0,243997,48.10546,11.66828,,,698627.9927287202,5331465.751843099,True
17329,Am Hochacker,224526.0,367471,48.105766,11.667606,,,698576.644307967,5331498.018951707,True
17330,Am Hochacker,224526.0,664680,48.10591,11.668361,,,698632.2869593092,5331515.971733463,True
17441,Am Knie,,164411,48.14546,11.470893,1.0,,683792.5921391256,5335420.415916897,True
17442,Am Knie,164411.0,219204,48.145588,11.470363,,,683752.7146408656,5335433.3746179305,True
17443,Am Knie,164411.0,483548,48.14544,11.471019,,,683802.0352187817,5335418.494393761,True
17444,Am Knie,164411.0,50581,48.14535,11.471046,,,683804.3649369788,5335408.556575096,True
17445,Am Knie,164411.0,674558,48.145493,11.470723,,,683779.8299995287,5335423.677061278,True
17539,Am Lokschuppen,,289253,48.14072,11.524253,1.0,,687778.6931035884,5335022.569219748,True
17540,Am Lokschuppen,289253.0,135661,48.14082,11.52357,,,687727.5236288133,5335032.01501213,True
17541,Am Lokschuppen,289253.0,47325,48.140823,11.524801,,,687819.0799137517,5335035.354866836,True
17542,Am Lokschuppen,289253.0,595406,48.140644,11.524918,,,687828.4362470317,5335015.747191337,True
17543,Am Lokschuppen,289253.0,680335,48.140728,11.52287,,,687675.7900534582,5335020.081479052,True
17563,Am Messesee,,134788,48.135517,11.690262,1.0,,700147.3495471675,5334863.131595582,True
17564,Am Messesee,134788.0,266394,48.135532,11.689669,,,700103.1773395143,5334863.255089949,True
17565,Am Messesee,134788.0,345738,48.135822,11.690334,,,700151.5195156189,5334897.215262598,True
17566,Am Messesee,134788.0,436260,48.13518,11.690181,,,700142.6344304029,5334825.468180368,True
17595,Am Münchfeld,,489841,48.19745,11.462629,1.0,,682992.7632366614,5341178.753561135,True
17596,Am Münchfeld,489841.0,473181,48.197323,11.462422,,,682977.8350237133,5341164.145910825,True
17597,Am Münchfeld,489841.0,605588,48.197582,11.46279,,,683004.2556341885,5341193.807357953,True
17598,Am Münchner Tor,,236016,48.176136,11.588312,1.0,,692411.1258665253,5339117.022383098,True
17599,Am Münchner Tor,236016.0,231324,48.176125,11.58824,,,692405.8150792138,5339115.619588786,True
17600,Am Münchner Tor,236016.0,454326,48.176155,11.588366,,,692415.0687080452,5339119.2692028405,True
17607,Am Neubruch,,33632,48.194553,11.492264,1.0,,685205.1711181691,5340927.806499751,True
17609,Am Neubruch,33632.0,197945,48.194553,11.492264,,1,685205.1711181691,5340927.806499751,True
18186,Am Ährenfeld,,174741,48.11993,11.478295,1.0,,684434.5894906309,5332600.805950739,True
18187,Am Ährenfeld,174741.0,19616,48.120296,11.478206,,,684426.6558168161,5332641.268661087,True
18188,Am Ährenfeld,174741.0,314006,48.120182,11.478565,,,684453.7789144452,5332629.459966352,True
18189,Am Ährenfeld,174741.0,493211,48.119747,11.478673,,,684463.3738302314,5332581.374407942,True
18195,Amalienburgstraße,,334100,48.165665,11.493279,1.0,,685384.7766897578,5337719.7059292,True
18196,Amalienburgstraße,334100.0,258258,48.16541,11.494402,,,685469.1900901851,5337694.07527059,True
18197,Amalienburgstraße,334100.0,376058,48.165787,11.494097,,,685445.1538572272,5337735.238141525,True
18198,Amalienburgstraße,334100.0,414588,48.16573,11.494061,,,685442.6828996115,5337728.816437659,True
18199,Amalienburgstraße,334100.0,640190,48.165356,11.494402,,,685469.3848829617,5337688.073843752,True
18200,Amalienburgstraße,334100.0,78836,48.165745,11.4931,,,685371.1798466118,5337728.165180649,True
18214,Amalienstraße,,134260,48.147747,11.576454,1.0,,691635.4594258338,5335932.337459127,True
18215,Amalienstraße,134260.0,599369,48.147747,11.576454,,1,691635.4594258338,5335932.337459127,True
18971,Ammerseestraße,,672374,48.12583,11.502819,1.0,,686238.1991403576,5333315.613317484,True
18972,Ammerseestraße,672374.0,399936,48.12661,11.502577,,,686217.3716656928,5333401.714025788,True
18973,Ammerseestraße,672374.0,461447,48.126087,11.502316,,,686199.8433583858,5333342.9574823,True
18974,Ammerseestraße,672374.0,481024,48.126163,11.501831,,,686163.4817034679,5333350.229699464,True
18975,Ammerseestraße,672374.0,623967,48.124893,11.502828,,,686242.2581011171,5333211.499907358,True
19173,Ampfingstraße,,536353,48.130974,11.615711,1.0,,694618.5821831052,5334166.861553151,True
19174,Ampfingstraße,536353.0,273706,48.130817,11.616429,,,694672.5937724949,5334151.230755431,True
19175,Ampfingstraße,536353.0,547857,48.13108,11.615253,,,694584.1071528138,5334177.482843541,True
19176,Ampfingstraße,536353.0,631132,48.130398,11.615235,,,694585.346051436,5334101.642642902,True
19177,"Ampfingstraße, München",536353.0,44899,48.130142,11.61563,,,694615.7014877426,5334074.191520489,True
19178,"Ampfingstraße, München",536353.0,467865,48.130367,11.615162,,,694580.0321098256,5334098.012702308,True
19182,Amphionpark,,232815,48.173443,11.51501,1.0,,686972.1547061267,5338636.778979961,True
19183,Amphionpark,232815.0,556881,48.173485,11.51474,,,686951.9308827036,5338640.78985587,True
19184,Amphionpark,232815.0,643469,48.173405,11.515324,,,686995.6348520068,5338633.319792993,True
19252,Amsterdamer Straße,,525600,48.16956,11.59937,1.0,,693257.8223614241,5338413.936793109,True
19255,Amsterdamer Straße,525600.0,445028,48.16956,11.59937,,1,693257.8223614241,5338413.936793109,True
19603,An der Point,,648387,48.140865,11.68542,1.0,,699766.3861944441,5335444.889675325,True
19604,An der Point,648387.0,403202,48.140865,11.685204,,,699750.3193957047,5335444.328429166,True
19605,An der Point,648387.0,558478,48.140873,11.685627,,,699781.7524818223,5335446.316661177,True
19941,Andernacher Straße,,17940,48.18546,11.524433,1.0,,687628.7536882628,5339995.287970595,True
19942,Andernacher Straße,17940.0,206364,48.18563,11.524514,,,687634.1527477789,5340014.379170436,True
19943,Andernacher Straße,17940.0,622067,48.18525,11.524325,,,687621.4940152804,5339971.685340422,True
20028,Andreas-Vöst-Straße,,320638,48.121735,11.502559,1.0,,686233.663933104,5332859.878493377,True
20029,Andreas-Vöst-Straße,320638.0,10223,48.12143,11.502397,,,686222.7121460021,5332825.589507132,True
20030,Andreas-Vöst-Straße,320638.0,619242,48.121735,11.502757,,,686248.3975446002,5332860.357970664,True
20159,Angerlohstraße,,357700,48.18908,11.472528,1.0,,683758.2276007391,5340272.155229548,True
20160,Angerlohstraße,357700.0,277097,48.189034,11.472376,,,683747.0962669959,5340266.679333985,True
20161,Angerlohstraße,357700.0,679235,48.1891,11.472717,,,683772.2015699783,5340274.8300592145,True
20363,Anhalter Platz,,324000,48.186848,11.562279,1.0,,690436.3114869015,5340242.663650409,True
20366,Anhalter Platz,324000.0,283004,48.186974,11.561767,,,690397.7939354818,5340255.3979554465,True
20367,Anhalter Platz,324000.0,572790,48.186596,11.562486,,,690452.6294065418,5340215.170189045,True
20368,Anhalter Platz,324000.0,604532,48.186428,11.56227,,,690437.1994725625,5340195.963706919,True
20369,Anhalter Platz,324000.0,78038,48.186733,11.561982,,,690414.6654049734,5340229.146726561,True
20823,Anneliese-Fleyenschmidt-Straße,,472684,48.101185,11.616905,1.0,,694820.0662884617,5330859.265638065,True
20824,Anneliese-Fleyenschmidt-Straße,472684.0,184189,48.101257,11.616896,,,694819.1241008579,5330867.244593226,True
20825,Anneliese-Fleyenschmidt-Straße,472684.0,249533,48.10112,11.616923,,,694821.6519835115,5330852.087423104,True
20827,Annemarie-Renger-Straße,,596393,48.144875,11.406592,1.0,,679012.0321607345,5335203.683231679,True
20828,Annemarie-Renger-Straße,596393.0,268921,48.144802,11.406457,,,679002.2449129778,5335195.25583891,True
20829,Annemarie-Renger-Straße,596393.0,440125,48.14493,11.4067,,,679019.8737673735,5335210.047289318,True
20862,Anni-Albers-Straße,,511809,48.179756,11.58921,1.0,,692464.3189099424,5339521.586742991,True
20863,Anni-Albers-Straße,511809.0,172004,48.17979,11.589291,,,692470.2121025894,5339525.568295344,True
20864,Anni-Albers-Straße,511809.0,340056,48.178894,11.589821,,,692512.9623633935,5339427.317448956,True
20865,Anni-Albers-Straße,511809.0,57625,48.179718,11.589139,,,692459.1839673189,5339517.185697672,True
21429,Anton-Ditt-Bogen,,466760,48.191536,11.582248,1.0,,691902.8437343198,5340813.365251003,True
21430,Anton-Ditt-Bogen,466760.0,145841,48.191555,11.582159,,,691896.1591064003,5340815.254535113,True
21431,Anton-Ditt-Bogen,466760.0,86477,48.19192,11.582329,,,691907.4282249302,5340856.244245514,True
21449,Anton-Will-Straße,,306949,48.205692,11.586246,1.0,,692146.9630003149,5342396.618042039,True
21450,Anton-Will-Straße,306949.0,119423,48.205967,11.586506,,,692165.2491008062,5342427.831288442,True
21451,Anton-Will-Straße,306949.0,660402,48.20532,11.585958,,,692126.959545328,5342354.554501907,True
21615,Anzinger Straße,,244865,48.12122,11.605641,1.0,,693906.126464187,5333057.403906554,True
21616,Anzinger Straße,244865.0,172513,48.121273,11.605641,,,693905.926882022,5333063.294103774,True
21617,Anzinger Straße,244865.0,526132,48.121147,11.605614,,,693904.3922257528,5333049.222916861,True
22098,Appenzeller Straße,,232882,48.093044,11.475412,1.0,,684316.2078044731,5329605.8730767695,True
22099,Appenzeller Straße,232882.0,603590,48.093044,11.475412,,2,684316.2078044731,5329605.8730767695,True
22131,Arabellapark,,666735,48.15328,11.620427,1.0,,694884.9407612908,5336657.807744356,True
22132,Arabellapark,666735.0,148639,48.153316,11.620786,,,694911.501653782,5336662.718910379,True
22133,Arabellapark,666735.0,178075,48.153214,11.62049,,,694889.8758861193,5336650.632489726,True
22134,Arabellapark,666735.0,231593,48.153515,11.622062,,,695005.6378322374,5336688.071381258,True
22135,Arabellapark,666735.0,346493,48.15331,11.620184,,,694866.7562161265,5336660.525759453,True
22136,Arabellapark,666735.0,496254,48.153217,11.619897,,,694845.7655546742,5336649.462549961,True
22137,Arabellapark,666735.0,618188,48.153214,11.620804,,,694913.2267714541,5336651.428667027,True
22138,Arabellapark,666735.0,670612,48.15358,11.622035,,,695003.3835275965,5336695.226732417,True
22139,Arabellapark Nord,,504386,48.153683,11.620768,1.0,,694908.7723181356,5336703.460233572,True
22140,Arabellapark Nord,504386.0,300322,48.153816,11.620948,,,694921.6540111818,5336718.6977848215,True
22141,Arabellapark Nord,504386.0,352637,48.15355,11.620598,,,694896.6342084156,5336688.248068922,True
22142,Arabellapark/Klinikum Bogenh.,,577505,48.15375,11.623373,1.0,,695102.2394834183,5336717.51516305,True
22143,Arabellapark/Klinikum Bogenh.,577505.0,134019,48.15371,11.623742,,,695129.8319520857,5336714.006391684,True
22144,Arabellapark/Klinikum Bogenh.,577505.0,162858,48.15361,11.623571,,,695117.4948716601,5336702.45869472,True
22145,Arabellapark/Klinikum Bogenh.,577505.0,391269,48.15389,11.62296,,,695070.9957242724,5336732.026014259,True
22146,Arabellapark/Klinikum Bogenh.,577505.0,491116,48.15379,11.623742,,,695129.5284451451,5336722.897281486,True
22147,Arabellastraße,,347632,48.15354,11.618585,1.0,,694746.9745271981,5336682.034616227,True
22148,Arabellastraße,347632.0,421709,48.153584,11.618576,,,694746.1386391678,5336686.901805379,True
22149,Arabellastraße,347632.0,586466,48.15359,11.617022,,,694630.5521655084,5336683.632598292,True
22150,Arabellastraße,347632.0,614457,48.15397,11.616887,,,694619.0749547249,5336725.522528203,True
22151,Arabellastraße,347632.0,652758,48.153496,11.618585,,,694747.1411269208,5336677.144624785,True
22218,Arcisstraße,,448727,48.151768,11.570705,1.0,,691192.9374041957,5336364.902277984,True
22219,Arcisstraße,448727.0,637807,48.151768,11.570516,,,691178.8817969161,5336364.432208046,True
22220,Arcisstraße,448727.0,646646,48.151733,11.57093,,,691209.8003740958,5336361.572149147,True
24553,Aschenbrennerstraße,,540432,48.219975,11.561138,1.0,,690228.7428528356,5343921.487934176,True
24554,Aschenbrennerstraße,540432.0,263240,48.219963,11.560716,,,690197.4455710972,5343919.108941394,True
24555,Aschenbrennerstraße,540432.0,584850,48.220028,11.560662,,,690193.1940980012,5343926.199144432,True
24895,Aschheimer Straße,,611495,48.120956,11.612953,1.0,,694451.2258024429,5333046.526219562,True
24896,Aschheimer Straße,611495.0,62780,48.121494,11.613124,,,694461.9185875538,5333106.749619284,True
24897,Aschheimer Straße,611495.0,83405,48.120396,11.612612,,,694427.965523121,5332983.428069072,True
25088,Asmarstraße,,218182,48.17255,11.407086,1.0,,678952.4524496404,5338280.583889306,True
25089,Asmarstraße,218182.0,440746,48.171974,11.407113,,,678956.4648324314,5338216.631019715,True
25090,Asmarstraße,218182.0,564409,48.172997,11.407194,,,678958.9248832555,5338330.514267735,True
25329,Astallerstraße,,178210,48.135532,11.530497,1.0,,688262.1277458388,5334461.260538167,True
25330,Astallerstraße,178210.0,424862,48.135483,11.530649,,,688273.6145796685,5334456.187012706,True
25331,Astallerstraße,178210.0,494137,48.135586,11.530335,,,688249.8787256669,5334466.865286956,True
25904,Aubing,,367076,48.155964,11.413203,1.0,,679465.064973477,5336451.506791023,True
25905,Aubing,367076.0,248605,48.153854,11.413751,,,679513.1797881556,5336218.284928497,True
25906,Aubing,367076.0,36539,48.153793,11.413805,,,679517.4084530995,5336211.631607609,True
25907,Aubing-Ost-Straße,,427525,48.15587,11.417749,1.0,,679803.4485888081,5336451.68314669,True
25908,Aubing-Ost-Straße,427525.0,168591,48.155914,11.417704,,,679799.9484285016,5336456.467965843,True
25909,Aubing-Ost-Straße,427525.0,57793,48.15583,11.417713,,,679800.9113392408,5336447.15341802,True
25910,Aubinger Allee,,226254,48.14619,11.405846,1.0,,678951.9716585935,5335348.093053687,True
25911,Aubinger Allee,226254.0,345216,48.145985,11.405819,,,678950.6764556101,5335325.246911774,True
25912,Aubinger Allee,226254.0,501424,48.146362,11.405819,,,678949.3652546039,5335367.1459505595,True
26243,Auenbruggerstraße,,524829,48.181156,11.449729,1.0,,682092.0011997895,5339337.216692831,True
26244,Auenbruggerstraße,524829.0,551222,48.18104,11.449415,,,682069.0736687953,5339323.58059391,True
26245,Auenbruggerstraße,524829.0,634851,48.181313,11.449594,,,682081.4108249316,5339354.345476417,True
26606,Auerfeldstraße,,394214,48.123642,11.596262,1.0,,693199.1255996551,5333302.969762346,True
26607,Auerfeldstraße,394214.0,169915,48.12351,11.596038,,,693182.9532775633,5333287.737098578,True
26608,Auerfeldstraße,394214.0,287923,48.123833,11.596478,,,693214.4811626008,5333324.7393941535,True
27746,August-Everding-Straße,,343193,48.12554,11.609988,1.0,,694213.3010250903,5333548.4800518975,True
27747,August-Everding-Straße,343193.0,371398,48.1258,11.609755,,,694194.9837287101,5333576.786942377,True
