,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
17173,Am Hochacker,654655.0,425284,48.105038,11.66731,,,698557.417463421,5331416.348605383,True
17174,Am Hochacker,654655.0,449507,48.10546,11.66828,,,698627.9927287202,5331465.751843099,True
17175,Am Hochacker,654655.0,516565,48.105766,11.667606,,,698576.644307967,5331498.018951707,True
17287,Am Knie,654164.0,329894,48.14544,11.471019,,,683802.0352187817,5335418.494393761,True
17288,Am Knie,654164.0,375633,48.14535,11.471046,,,683804.3649369788,5335408.556575096,True
17289,Am Knie,654164.0,573262,48.145493,11.470723,,,683779.8299995287,5335423.677061278,True
17290,Am Knie,654164.0,62022,48.145588,11.470363,,,683752.7146408656,5335433.3746179305,True
17386,Am Lokschuppen,332435.0,206227,48.140728,11.52287,,,687675.7900534582,5335020.081479052,True
17387,Am Lokschuppen,332435.0,472244,48.140644,11.524918,,,687828.4362470317,5335015.747191337,True
17388,Am Lokschuppen,332435.0,500023,48.14082,11.52357,,,687727.5236288133,5335032.01501213,True
17389,Am Lokschuppen,332435.0,516320,48.140823,11.524801,,,687819.0799137517,5335035.354866836,True
17410,Am Messesee,380262.0,102105,48.13518,11.690181,,,700142.6344304029,5334825.468180368,True
17411,Am Messesee,380262.0,442077,48.135532,11.689669,,,700103.1773395144,5334863.255089949,True
17412,Am Messesee,380262.0,593567,48.135822,11.690334,,,700151.5195156189,5334897.215262598,True
17441,Am Münchfeld,521995.0,14929,48.197582,11.46279,,,683004.2556341885,5341193.807357953,True
17442,Am Münchfeld,521995.0,305328,48.197323,11.462422,,,682977.8350237133,5341164.145910825,True
17444,Am Münchner Tor,345394.0,231202,48.176125,11.58824,,,692405.8150792138,5339115.619588786,True
17445,Am Münchner Tor,345394.0,630724,48.176155,11.588366,,,692415.0687080452,5339119.2692028405,True
17454,Am Neubruch,534693.0,528190,48.194553,11.492264,,1,685205.1711181691,5340927.806499751,True
18025,Am Ährenfeld,80491.0,198087,48.120182,11.478565,,,684453.7789144452,5332629.459966352,True
18026,Am Ährenfeld,80491.0,22737,48.119747,11.478673,,,684463.3738302314,5332581.374407942,True
18027,Am Ährenfeld,80491.0,251737,48.120296,11.478206,,,684426.6558168161,5332641.268661087,True
