period_start,period_end,line,planned_trips,observed_trips,missing_trips,completeness_percent
2026-09-12 07:10:40,2026-09-13 07:10:40,130,102,0,102,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,1304A,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,1307,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,132,189,0,189,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,134,119,47,72,39.5
2026-09-12 07:10:40,2026-09-13 07:10:40,135,167,0,167,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,136,78,0,78,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,139,171,89,82,52.05
2026-09-12 07:10:40,2026-09-13 07:10:40,14,204,0,204,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,140,122,0,122,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,141,180,6,174,3.33
2026-09-12 07:10:40,2026-09-13 07:10:40,142,196,0,196,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,143,114,0,114,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,144,81,0,81,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,145,193,0,193,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,1491,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,153,73,8,65,10.96
2026-09-12 07:10:40,2026-09-13 07:10:40,154,118,2,116,1.69
2026-09-12 07:10:40,2026-09-13 07:10:40,155,185,0,185,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,157,93,0,93,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,158,26,0,26,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,16,210,0,210,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,160,197,0,197,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,161,118,0,118,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,162,121,44,77,36.36
2026-09-12 07:10:40,2026-09-13 07:10:40,163,156,18,138,11.54
2026-09-12 07:10:40,2026-09-13 07:10:40,164,128,0,128,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,165,79,0,79,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,166,130,0,130,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,168,195,0,195,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,169,98,0,98,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,17,221,0,221,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,170,74,0,74,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,171,108,0,108,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,172,52,0,52,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,173,120,0,120,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,174,108,0,108,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,175,106,0,106,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,176,27,0,27,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,177,118,0,118,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,178,116,0,116,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,179,36,0,36,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,18,222,0,222,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,180,196,62,134,31.63
2026-09-12 07:10:40,2026-09-13 07:10:40,181,126,0,126,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,182,83,0,83,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,183,110,29,81,26.36
2026-09-12 07:10:40,2026-09-13 07:10:40,184,74,0,74,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,185,121,0,121,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,187,112,42,70,37.5
2026-09-12 07:10:40,2026-09-13 07:10:40,188,108,0,108,0.0
